1,"[-1.4009872674942017, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009872674942017, -1.4009872674942017, -1.4209868907928467, -1.4209868907928467, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.400987148284912, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.229203224182129, -2.22920298576355, -2.2292027473449707, -2.2092037200927734, -2.2092037200927734, -2.2092041969299316, -2.2092089653015137, -2.228822708129883, -2.2292022705078125, -2.22920298576355, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.209205150604248, -2.22920298576355, -2.229203224182129, -2.2292025089263916, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.9981558322906494, -2.998155117034912, -2.998155355453491, -2.9981560707092285, -3.018134355545044, -2.998156785964966, -2.998157024383545, -3.018153190612793, -3.0181543827056885, -3.0181546211242676, -3.0181546211242676, -3.0181543827056885, -2.998155355453491, -2.998155117034912, -2.998155117034912, -3.0181546211242676, -3.0181548595428467, -3.0181548595428467, -3.0181527137756348, -2.998154878616333]"
2,"[-1.400213599205017, -1.3925966024398804, -1.4250644445419312, -1.4237990379333496, -1.4266877174377441, -1.3931177854537964, -1.4020702838897705, -1.426287055015564, -1.4189032316207886, -1.427666425704956, -1.4292274713516235, -1.430224061012268, -1.4296772480010986, -1.392411470413208, -1.3928697109222412, -1.4301575422286987, -1.4294610023498535, -1.429160714149475, -1.392364740371704, -1.3924058675765991, -2.2376880645751953, -2.2371129989624023, -2.229919195175171, -2.200347661972046, -2.200221300125122, -2.2007827758789062, -2.20153546333313, -2.2213993072509766, -2.2388391494750977, -2.2362592220306396, -2.2006006240844727, -2.1991915702819824, -2.1998581886291504, -2.201364517211914, -2.226508617401123, -2.238792896270752, -2.2370052337646484, -2.2160966396331787, -2.200099229812622, -2.200638771057129, -2.988365411758423, -2.9881818294525146, -2.988142728805542, -2.9884936809539795, -3.0262510776519775, -2.9997472763061523, -2.9966375827789307, -3.019320011138916, -3.0243449211120605, -3.027371406555176, -3.028083086013794, -3.0281319618225098, -2.9895992279052734, -2.9883482456207275, -2.988180637359619, -3.0277769565582275, -3.028015613555908, -3.027548313140869, -3.0110676288604736, -2.9882113933563232]"
3,"[-1.4014164209365845, -1.386085033416748, -1.427606463432312, -1.424132227897644, -1.4301881790161133, -1.3844674825668335, -1.400651454925537, -1.4274613857269287, -1.415767788887024, -1.432835340499878, -1.4357247352600098, -1.437841773033142, -1.4373732805252075, -1.3848240375518799, -1.3852745294570923, -1.4371509552001953, -1.4369919300079346, -1.4367892742156982, -1.3849376440048218, -1.3847332000732422, -2.244835376739502, -2.2439303398132324, -2.226207971572876, -2.1927475929260254, -2.1926538944244385, -2.1930387020111084, -2.1935439109802246, -2.2145767211914062, -2.2472968101501465, -2.244593858718872, -2.19165301322937, -2.189741611480713, -2.190424680709839, -2.1990904808044434, -2.228511095046997, -2.2462754249572754, -2.2443654537200928, -2.220294713973999, -2.190619707107544, -2.193873643875122, -2.978931427001953, -2.9790003299713135, -2.9783122539520264, -2.982170820236206, -3.032750129699707, -3.0062499046325684, -3.0025036334991455, -3.0181219577789307, -3.031226873397827, -3.036940336227417, -3.0380680561065674, -3.038146495819092, -2.980619192123413, -2.9785828590393066, -2.9783236980438232, -3.037576198577881, -3.0379512310028076, -3.0371031761169434, -3.00277042388916, -2.978361129760742]"
4,"[-1.4059423208236694, -1.380561351776123, -1.4287282228469849, -1.4228038787841797, -1.432610273361206, -1.3753143548965454, -1.3955744504928589, -1.4270045757293701, -1.409988284111023, -1.4364447593688965, -1.4420121908187866, -1.445580005645752, -1.4428303241729736, -1.3763285875320435, -1.3767706155776978, -1.442817211151123, -1.4450033903121948, -1.4451396465301514, -1.3776243925094604, -1.3767338991165161, -2.252114772796631, -2.250272035598755, -2.219724178314209, -2.1848220825195312, -2.1851093769073486, -2.184760093688965, -2.184976577758789, -2.2069501876831055, -2.2554891109466553, -2.2535011768341064, -2.1848766803741455, -2.181077480316162, -2.1809191703796387, -2.194972276687622, -2.2304580211639404, -2.2546868324279785, -2.252699375152588, -2.2262957096099854, -2.1810967922210693, -2.1861047744750977, -2.970407247543335, -2.969578266143799, -2.9684484004974365, -2.9756031036376953, -3.0392699241638184, -3.0132718086242676, -3.009997606277466, -3.020611524581909, -3.037584066390991, -3.046570062637329, -3.048041820526123, -3.0481815338134766, -2.9725284576416016, -2.969236135482788, -2.968641519546509, -3.0474557876586914, -3.047863245010376, -3.0463953018188477, -2.993828773498535, -2.968681573867798]"
5,"[-1.4065436124801636, -1.375868797302246, -1.4289859533309937, -1.4207018613815308, -1.434154987335205, -1.3710343837738037, -1.3931208848953247, -1.4289867877960205, -1.4061723947525024, -1.4399455785751343, -1.4476311206817627, -1.4520323276519775, -1.4463773965835571, -1.3695964813232422, -1.3710623979568481, -1.4479682445526123, -1.4497586488723755, -1.4506027698516846, -1.371259331703186, -1.3697024583816528, -2.2491939067840576, -2.257080554962158, -2.224716901779175, -2.1765594482421875, -2.1780269145965576, -2.1782281398773193, -2.178126335144043, -2.211808681488037, -2.2507736682891846, -2.2484281063079834, -2.178101062774658, -2.1833763122558594, -2.1848928928375244, -2.1990714073181152, -2.236016035079956, -2.261064291000366, -2.2599220275878906, -2.2216744422912598, -2.173633337020874, -2.1885645389556885, -2.963778018951416, -2.9700870513916016, -2.9699933528900146, -2.973897695541382, -3.0378310680389404, -3.0190746784210205, -3.0158755779266357, -3.0240378379821777, -3.045192241668701, -3.0563671588897705, -3.0580663681030273, -3.0582234859466553, -2.963947296142578, -2.960080862045288, -2.959510564804077, -3.057400703430176, -3.0575437545776367, -3.054983139038086, -2.9845571517944336, -2.95953369140625]"
6,"[-1.4072041511535645, -1.3717267513275146, -1.429343581199646, -1.4187904596328735, -1.4356015920639038, -1.3711966276168823, -1.3920648097991943, -1.4307920932769775, -1.404567837715149, -1.4435553550720215, -1.4529727697372437, -1.4580051898956299, -1.4494043588638306, -1.36323881149292, -1.3657195568084717, -1.4533771276474, -1.4544382095336914, -1.4558783769607544, -1.365080714225769, -1.363041639328003, -2.2467329502105713, -2.2630999088287354, -2.2290120124816895, -2.1689937114715576, -2.171603202819824, -2.1723380088806152, -2.1714489459991455, -2.2136380672454834, -2.2466745376586914, -2.2444088459014893, -2.1732864379882812, -2.185284376144409, -2.1872823238372803, -2.200573444366455, -2.2405927181243896, -2.2672550678253174, -2.268044948577881, -2.218106746673584, -2.1666061878204346, -2.189450979232788, -2.9580721855163574, -2.9694550037384033, -2.9706244468688965, -2.972050905227661, -3.0375449657440186, -3.025003433227539, -3.0212485790252686, -3.02691912651062, -3.0528831481933594, -3.0660996437072754, -3.0679893493652344, -3.0680649280548096, -2.9551706314086914, -2.9510836601257324, -2.950411319732666, -3.0672624111175537, -3.0670580863952637, -3.063141345977783, -2.975040912628174, -2.9506397247314453]"
7,"[-1.4081330299377441, -1.3680604696273804, -1.4296103715896606, -1.4170032739639282, -1.436850666999817, -1.3715908527374268, -1.391463279724121, -1.4323310852050781, -1.4030174016952515, -1.446745753288269, -1.457827091217041, -1.4634971618652344, -1.4521676301956177, -1.3572877645492554, -1.3606756925582886, -1.458552598953247, -1.4588849544525146, -1.460850715637207, -1.3592650890350342, -1.3568717241287231, -2.2446794509887695, -2.2683215141296387, -2.2327377796173096, -2.162111759185791, -2.1659300327301025, -2.1671926975250244, -2.165592908859253, -2.2150542736053467, -2.2430074214935303, -2.240800142288208, -2.169327735900879, -2.187411308288574, -2.18923020362854, -2.2011542320251465, -2.2445285320281982, -2.272974967956543, -2.2759556770324707, -2.2149627208709717, -2.160057783126831, -2.189878225326538, -2.9531219005584717, -2.9689412117004395, -2.970808744430542, -2.9681849479675293, -3.0366244316101074, -3.0296311378479004, -3.026204824447632, -3.0307259559631348, -3.059892177581787, -3.0751380920410156, -3.0774645805358887, -3.077698230743408, -2.9469752311706543, -2.942506790161133, -2.941554546356201, -3.076854705810547, -3.076181411743164, -3.0706610679626465, -2.965522050857544, -2.9422309398651123]"
8,"[-1.4099009037017822, -1.3644810914993286, -1.4294015169143677, -1.414255142211914, -1.4374791383743286, -1.3730909824371338, -1.3927913904190063, -1.4355552196502686, -1.4029897451400757, -1.4502874612808228, -1.4630788564682007, -1.4693197011947632, -1.455233097076416, -1.350998878479004, -1.3551890850067139, -1.4641094207763672, -1.4638633728027344, -1.466322422027588, -1.3529479503631592, -1.350282907485962, -2.243361711502075, -2.273386001586914, -2.2359585762023926, -2.1556174755096436, -2.160836935043335, -2.1623482704162598, -2.159900665283203, -2.2160682678222656, -2.239945888519287, -2.2378079891204834, -2.1659178733825684, -2.1889798641204834, -2.190300226211548, -2.200495958328247, -2.2479937076568604, -2.278663396835327, -2.284456491470337, -2.212294340133667, -2.15327787399292, -2.18949031829834, -2.9487016201019287, -2.9683127403259277, -2.970423936843872, -2.9631311893463135, -3.035874605178833, -3.03389573097229, -3.0304224491119385, -3.0345370769500732, -3.0673842430114746, -3.084320545196533, -3.0869758129119873, -3.08726167678833, -2.9384076595306396, -2.9338388442993164, -2.9327027797698975, -3.0866446495056152, -3.0853259563446045, -3.0779409408569336, -2.955784559249878, -2.9336891174316406]"
9,"[-1.4114398956298828, -1.3611890077590942, -1.4290192127227783, -1.411550760269165, -1.4380457401275635, -1.3757915496826172, -1.3956941366195679, -1.4405431747436523, -1.4035894870758057, -1.4536736011505127, -1.4680140018463135, -1.4747889041900635, -1.4578261375427246, -1.3447943925857544, -1.3498872518539429, -1.4695262908935547, -1.4686391353607178, -1.4715003967285156, -1.3467375040054321, -1.3440020084381104, -2.242201566696167, -2.278012990951538, -2.238879442214966, -2.149627208709717, -2.1561503410339355, -2.157925844192505, -2.1547305583953857, -2.2171576023101807, -2.2373697757720947, -2.2352242469787598, -2.1627981662750244, -2.1902074813842773, -2.1910595893859863, -2.1996023654937744, -2.2510836124420166, -2.2838826179504395, -2.2923593521118164, -2.209829092025757, -2.1469886302948, -2.18892502784729, -2.9448606967926025, -2.968153953552246, -2.970078468322754, -2.957582473754883, -3.0346648693084717, -3.037081003189087, -3.0337352752685547, -3.0389580726623535, -3.075247287750244, -3.0934360027313232, -3.096224069595337, -3.096442222595215, -2.9296083450317383, -2.9253530502319336, -2.923849582672119, -3.0962612628936768, -3.093818426132202, -3.0841240882873535, -2.9460644721984863, -2.92572283744812]"
10,"[-1.4127237796783447, -1.3580690622329712, -1.4284297227859497, -1.4086216688156128, -1.4383018016815186, -1.3779428005218506, -1.398635983467102, -1.4456239938735962, -1.404113531112671, -1.4567615985870361, -1.4726780652999878, -1.4801487922668457, -1.4606919288635254, -1.3386313915252686, -1.344336748123169, -1.4745486974716187, -1.4735965728759766, -1.4771074056625366, -1.3405448198318481, -1.3375022411346436, -2.2413899898529053, -2.28222918510437, -2.241456985473633, -2.14437198638916, -2.151961088180542, -2.1539323329925537, -2.1500370502471924, -2.218310594558716, -2.235060930252075, -2.232897996902466, -2.1599278450012207, -2.1912364959716797, -2.1915934085845947, -2.1985526084899902, -2.253861665725708, -2.288726329803467, -2.299907684326172, -2.2075881958007812, -2.1410303115844727, -2.188161849975586, -2.941591501235962, -2.9682962894439697, -2.9696526527404785, -2.9514126777648926, -3.0333752632141113, -3.0397732257843018, -3.036350727081299, -3.043113946914673, -3.083188772201538, -3.1023380756378174, -3.1052064895629883, -3.1054985523223877, -2.9214096069335938, -2.9172568321228027, -2.9152214527130127, -3.105483293533325, -3.101842164993286, -3.0897817611694336, -2.9363722801208496, -2.9181056022644043]"
