1,"[-1.4209835529327393, -1.4009900093078613, -1.4009878635406494, -1.4009881019592285, -1.4009884595870972, -1.400987982749939, -1.4009886980056763, -1.4010988473892212, -1.4009873867034912, -1.4009870290756226, -1.4209859371185303, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -1.400987148284912, -1.4209870100021362, -1.4209870100021362, -1.4009872674942017, -1.4009870290756226, -2.229192018508911, -2.209211587905884, -2.2092041969299316, -2.229200601577759, -2.2292020320892334, -2.229201555252075, -2.20920729637146, -2.209205150604248, -2.2291994094848633, -2.2292025089263916, -2.2292027473449707, -2.2092137336730957, -2.2092039585113525, -2.2092037200927734, -2.2092044353485107, -2.22920298576355, -2.229203224182129, -2.229203224182129, -2.2092037200927734, -2.2092034816741943, -2.998157501220703, -3.018152952194214, -3.0181539058685303, -3.0181541442871094, -3.0181539058685303, -3.018153667449951, -3.018153667449951, -3.018153429031372, -3.0181524753570557, -2.9981579780578613, -2.9981555938720703, -2.998155117034912, -2.998155117034912, -2.9981558322906494, -3.0181546211242676, -3.0181548595428467, -3.0181548595428467, -3.0181548595428467, -2.998155117034912, -2.998154878616333]"
2,"[-1.4141674041748047, -1.3934096097946167, -1.3925813436508179, -1.3925786018371582, -1.4061328172683716, -1.4080497026443481, -1.4082515239715576, -1.4085325002670288, -1.3915355205535889, -1.4051183462142944, -1.428504467010498, -1.4303381443023682, -1.430954098701477, -1.3915023803710938, -1.3913553953170776, -1.3928512334823608, -1.430056095123291, -1.430315375328064, -1.393249750137329, -1.3922055959701538, -2.2367115020751953, -2.2165277004241943, -2.2000763416290283, -2.2227134704589844, -2.2363197803497314, -2.2390003204345703, -2.2092301845550537, -2.2104225158691406, -2.237257242202759, -2.238659143447876, -2.2392120361328125, -2.2015163898468018, -2.199672222137451, -2.1994636058807373, -2.199507236480713, -2.238887071609497, -2.2391443252563477, -2.237764835357666, -2.2003965377807617, -2.1997947692871094, -2.999018669128418, -3.0266265869140625, -3.027073860168457, -3.0273241996765137, -3.02754282951355, -3.0276238918304443, -3.0276665687561035, -3.0276386737823486, -3.027169704437256, -3.0009915828704834, -2.9901890754699707, -2.989320755004883, -2.9896445274353027, -3.000208854675293, -3.0281665325164795, -3.02809476852417, -3.028029203414917, -3.0279738903045654, -2.9883437156677246, -2.9881904125213623]"
3,"[-1.4189571142196655, -1.3877333402633667, -1.3844499588012695, -1.3849387168884277, -1.400164246559143, -1.4071592092514038, -1.4075052738189697, -1.4035639762878418, -1.384164571762085, -1.402181625366211, -1.4352290630340576, -1.4399828910827637, -1.4404691457748413, -1.3824846744537354, -1.3827390670776367, -1.3854316473007202, -1.4391658306121826, -1.4392726421356201, -1.386400580406189, -1.3832411766052246, -2.245037794113159, -2.2246947288513184, -2.1918556690216064, -2.2147581577301025, -2.243828296661377, -2.246554374694824, -2.215505838394165, -2.210536003112793, -2.2460834980010986, -2.248366355895996, -2.2487595081329346, -2.195376396179199, -2.1906449794769287, -2.1899590492248535, -2.1902706623077393, -2.248728036880493, -2.2491369247436523, -2.2469170093536377, -2.1914761066436768, -2.1903884410858154, -2.9975104331970215, -3.0343499183654785, -3.03580379486084, -3.0363829135894775, -3.036990165710449, -3.037310838699341, -3.0374021530151367, -3.037360668182373, -3.0366220474243164, -3.0062921047210693, -2.9814956188201904, -2.979983329772949, -2.9804847240448, -3.000018358230591, -3.0381851196289062, -3.0380795001983643, -3.0379741191864014, -3.0378851890563965, -2.9784412384033203, -2.978208303451538]"
4,"[-1.4196869134902954, -1.3821889162063599, -1.3776662349700928, -1.3787426948547363, -1.3960553407669067, -1.4067223072052002, -1.407088279724121, -1.398544430732727, -1.377732276916504, -1.401564121246338, -1.4431421756744385, -1.4493944644927979, -1.4470534324645996, -1.3731210231781006, -1.374338150024414, -1.381868839263916, -1.4483064413070679, -1.4481717348098755, -1.3789286613464355, -1.374287486076355, -2.2522425651550293, -2.23087215423584, -2.183485507965088, -2.20749568939209, -2.252143383026123, -2.25467586517334, -2.2199552059173584, -2.2126994132995605, -2.2553319931030273, -2.2581582069396973, -2.2580196857452393, -2.1881113052368164, -2.1812586784362793, -2.1807188987731934, -2.180741786956787, -2.2549657821655273, -2.2530815601348877, -2.2444276809692383, -2.1821634769439697, -2.1841444969177246, -3.0028223991394043, -3.042668342590332, -3.044705867767334, -3.045729875564575, -3.0463194847106934, -3.0451407432556152, -3.045259952545166, -3.0457470417022705, -3.0453038215637207, -3.005312919616699, -2.972446918487549, -2.9703893661499023, -2.9709949493408203, -2.997814416885376, -3.0481622219085693, -3.0480446815490723, -3.047919988632202, -3.047833204269409, -2.968463182449341, -2.9682085514068604]"
5,"[-1.4200639724731445, -1.3772814273834229, -1.3704849481582642, -1.3721709251403809, -1.3924379348754883, -1.4068268537521362, -1.4067392349243164, -1.3960464000701904, -1.3722540140151978, -1.4009315967559814, -1.4508554935455322, -1.4584020376205444, -1.4536558389663696, -1.3642823696136475, -1.366497278213501, -1.3780412673950195, -1.4566656351089478, -1.4563032388687134, -1.37114417552948, -1.365939974784851, -2.257479429244995, -2.233854293823242, -2.175549030303955, -2.2049002647399902, -2.260373830795288, -2.2634434700012207, -2.2257869243621826, -2.2092437744140625, -2.2648632526397705, -2.2675843238830566, -2.2667782306671143, -2.1800031661987305, -2.1721129417419434, -2.1719937324523926, -2.1723427772521973, -2.2625482082366943, -2.259157419204712, -2.2439029216766357, -2.1725893020629883, -2.1766533851623535, -3.00388503074646, -3.0505411624908447, -3.0535311698913574, -3.0552968978881836, -3.0557453632354736, -3.0536205768585205, -3.0536763668060303, -3.054309844970703, -3.053861141204834, -3.008955717086792, -2.9631693363189697, -2.9606199264526367, -2.9613029956817627, -2.9967424869537354, -3.058204412460327, -3.0580666065216064, -3.057900905609131, -3.0577800273895264, -2.958570957183838, -2.958186149597168]"
6,"[-1.4207696914672852, -1.373062014579773, -1.3643207550048828, -1.366326093673706, -1.3890881538391113, -1.4068043231964111, -1.4064658880233765, -1.3937824964523315, -1.3675533533096313, -1.4008909463882446, -1.4582058191299438, -1.4664835929870605, -1.458532691001892, -1.3558568954467773, -1.3593506813049316, -1.3764512538909912, -1.4646693468093872, -1.4640250205993652, -1.3630990982055664, -1.3579155206680298, -2.2601699829101562, -2.2319424152374268, -2.167243719100952, -2.206712007522583, -2.269009828567505, -2.2726283073425293, -2.233013391494751, -2.2111260890960693, -2.2741305828094482, -2.276358127593994, -2.2751991748809814, -2.1712942123413086, -2.16291880607605, -2.1629414558410645, -2.1634521484375, -2.2708346843719482, -2.265449285507202, -2.2416977882385254, -2.162824869155884, -2.169069766998291, -3.0032360553741455, -3.058065176010132, -3.0622498989105225, -3.064887285232544, -3.0653810501098633, -3.0625905990600586, -3.062613010406494, -3.0633373260498047, -3.0628674030303955, -3.0146923065185547, -2.9536876678466797, -2.9507317543029785, -2.9514946937561035, -2.9975717067718506, -3.068311929702759, -3.068143844604492, -3.067925214767456, -3.06777024269104, -2.94860577583313, -2.948132276535034]"
7,"[-1.4217602014541626, -1.3692641258239746, -1.358556866645813, -1.3608548641204834, -1.3855924606323242, -1.4062471389770508, -1.40572190284729, -1.3913264274597168, -1.3633273839950562, -1.4013886451721191, -1.4649856090545654, -1.4734188318252563, -1.4615398645401, -1.3479329347610474, -1.3528308868408203, -1.3767955303192139, -1.4724656343460083, -1.4714984893798828, -1.354882836341858, -1.3499876260757446, -2.262877941131592, -2.2296364307403564, -2.158456802368164, -2.207920789718628, -2.2779622077941895, -2.2819948196411133, -2.2409706115722656, -2.2142233848571777, -2.2835826873779297, -2.285111427307129, -2.2836177349090576, -2.1628594398498535, -2.154452085494995, -2.155170202255249, -2.157104253768921, -2.279554843902588, -2.2720582485198975, -2.239219903945923, -2.153254747390747, -2.16166615486145, -3.003323554992676, -3.065186023712158, -3.0709798336029053, -3.074477434158325, -3.0749549865722656, -3.071427345275879, -3.071378707885742, -3.0721993446350098, -3.071713924407959, -3.0200953483581543, -2.9439914226531982, -2.9407243728637695, -2.9415442943573, -2.995021343231201, -3.078267812728882, -3.0781872272491455, -3.0779566764831543, -3.077791452407837, -2.938648223876953, -2.9380695819854736]"
8,"[-1.4229214191436768, -1.3654576539993286, -1.352960467338562, -1.355833649635315, -1.3829236030578613, -1.406791090965271, -1.406122088432312, -1.3894484043121338, -1.3602699041366577, -1.4037202596664429, -1.4721968173980713, -1.4800883531570435, -1.4632309675216675, -1.3398303985595703, -1.3463996648788452, -1.3793379068374634, -1.4806019067764282, -1.4793508052825928, -1.346116065979004, -1.3416080474853516, -2.261133909225464, -2.2255680561065674, -2.1508123874664307, -2.21242094039917, -2.2866644859313965, -2.2914276123046875, -2.2495598793029785, -2.216384172439575, -2.293229341506958, -2.294217586517334, -2.2925009727478027, -2.1541028022766113, -2.1455459594726562, -2.1467254161834717, -2.149949312210083, -2.2886860370635986, -2.279559373855591, -2.2378787994384766, -2.143481492996216, -2.1535868644714355, -3.002013683319092, -3.0711445808410645, -3.0793378353118896, -3.0840070247650146, -3.084704637527466, -3.0806305408477783, -3.080533981323242, -3.0814406871795654, -3.0809545516967773, -3.026958703994751, -2.9344449043273926, -2.930752754211426, -2.93161678314209, -2.993905782699585, -3.088268995285034, -3.0882153511047363, -3.0879478454589844, -3.0877580642700195, -2.92856764793396, -2.928016424179077]"
9,"[-1.4232735633850098, -1.3617335557937622, -1.3475377559661865, -1.3508139848709106, -1.3803362846374512, -1.407748818397522, -1.407191514968872, -1.3886040449142456, -1.3573358058929443, -1.4059638977050781, -1.47951078414917, -1.4869593381881714, -1.4655799865722656, -1.3318923711776733, -1.3401546478271484, -1.3819165229797363, -1.4883785247802734, -1.4868477582931519, -1.3372734785079956, -1.3334758281707764, -2.25846004486084, -2.2210569381713867, -2.143775701522827, -2.218090057373047, -2.295715570449829, -2.3009910583496094, -2.258392095565796, -2.2191667556762695, -2.303022623062134, -2.303426742553711, -2.301644802093506, -2.1455984115600586, -2.1366913318634033, -2.1378731727600098, -2.141962766647339, -2.298006772994995, -2.2871198654174805, -2.233612298965454, -2.133575201034546, -2.1457459926605225, -2.999938488006592, -3.0780739784240723, -3.088207960128784, -3.0937769412994385, -3.094611644744873, -3.0900697708129883, -3.090014934539795, -3.0909481048583984, -3.0903847217559814, -3.0347654819488525, -2.925060987472534, -2.920790195465088, -2.9216291904449463, -2.991034984588623, -3.0983986854553223, -3.09835147857666, -3.0980148315429688, -3.0977725982666016, -2.9184410572052, -2.917945384979248]"
10,"[-1.4225528240203857, -1.357370376586914, -1.340807557106018, -1.344815731048584, -1.3777503967285156, -1.4101779460906982, -1.410697340965271, -1.3908599615097046, -1.3569175004959106, -1.410131812095642, -1.487638235092163, -1.4945482015609741, -1.4679112434387207, -1.3233622312545776, -1.333513617515564, -1.3871479034423828, -1.4968326091766357, -1.4950294494628906, -1.3285843133926392, -1.3247607946395874, -2.254804849624634, -2.2188944816589355, -2.1390273571014404, -2.2249672412872314, -2.305123805999756, -2.310805082321167, -2.267608642578125, -2.223755121231079, -2.313009262084961, -2.3128716945648193, -2.3111236095428467, -2.1374173164367676, -2.1278891563415527, -2.1289820671081543, -2.1345858573913574, -2.3074862957000732, -2.2954256534576416, -2.2297160625457764, -2.1235098838806152, -2.137441396713257, -3.000108003616333, -3.0855135917663574, -3.0972089767456055, -3.103602409362793, -3.104590654373169, -3.0996527671813965, -3.0996603965759277, -3.10064697265625, -3.100041627883911, -3.0432205200195312, -2.9155683517456055, -2.9107794761657715, -2.91161847114563, -2.988715410232544, -3.1085283756256104, -3.1084389686584473, -3.10800838470459, -3.1077065467834473, -2.908231735229492, -2.907923460006714]"
