1,"[-1.420957088470459, -1.4009956121444702, -1.400990605354309, -1.400989294052124, -1.4009909629821777, -1.4010014533996582, -1.4209778308868408, -1.4010133743286133, -1.400987982749939, -1.4009875059127808, -1.420986533164978, -1.4209868907928467, -1.4209846258163452, -1.400987148284912, -1.4009872674942017, -1.420986294746399, -1.4209868907928467, -1.4209866523742676, -1.400987148284912, -1.400987148284912, -2.229201078414917, -2.2292025089263916, -2.209209680557251, -2.20920467376709, -2.2092044353485107, -2.20920467376709, -2.2092044353485107, -2.2092061042785645, -2.209237575531006, -2.229182720184326, -2.2092080116271973, -2.2092044353485107, -2.2092039585113525, -2.2092039585113525, -2.2291996479034424, -2.229203224182129, -2.229203224182129, -2.2292027473449707, -2.2092037200927734, -2.2092034816741943, -2.99816632270813, -3.0181524753570557, -3.018144369125366, -3.0179531574249268, -3.0181493759155273, -3.0181450843811035, -2.9981606006622314, -2.9981577396392822, -2.998162269592285, -3.01815128326416, -3.018153429031372, -3.018152952194214, -2.998157501220703, -2.9981558322906494, -3.0181524753570557, -3.0181546211242676, -3.0181546211242676, -3.0181546211242676, -2.998155117034912, -2.998154878616333]"
2,"[-1.428478479385376, -1.3910634517669678, -1.3927494287490845, -1.392469882965088, -1.3922120332717896, -1.3925011157989502, -1.41494882106781, -1.3934836387634277, -1.391676664352417, -1.3945109844207764, -1.429360270500183, -1.4298768043518066, -1.4309608936309814, -1.392641544342041, -1.3927998542785645, -1.4290707111358643, -1.429021954536438, -1.4288121461868286, -1.3926634788513184, -1.3928171396255493, -2.2371466159820557, -2.2391693592071533, -2.200775146484375, -2.199321985244751, -2.1992087364196777, -2.1993629932403564, -2.1996896266937256, -2.199903726577759, -2.2163045406341553, -2.2369072437286377, -2.203066110610962, -2.1991958618164062, -2.199202299118042, -2.19934344291687, -2.225281000137329, -2.2392098903656006, -2.239112138748169, -2.2388906478881836, -2.199354410171509, -2.1993324756622314, -2.989975929260254, -3.013418436050415, -3.011327028274536, -3.0105321407318115, -3.02811336517334, -3.0147876739501953, -2.9978854656219482, -2.991246461868286, -2.996271848678589, -3.0278921127319336, -3.028123617172241, -3.0275001525878906, -2.9883053302764893, -2.988213062286377, -3.0281474590301514, -3.0279059410095215, -3.027599573135376, -3.0265679359436035, -2.9883298873901367, -2.9882569313049316]"
3,"[-1.4324345588684082, -1.3845185041427612, -1.3984977006912231, -1.397505760192871, -1.3978651762008667, -1.3979864120483398, -1.421258568763733, -1.399588942527771, -1.3976430892944336, -1.400581955909729, -1.4383553266525269, -1.4392235279083252, -1.4378522634506226, -1.383562684059143, -1.3839383125305176, -1.431634783744812, -1.4378024339675903, -1.4376068115234375, -1.3836016654968262, -1.3838366270065308, -2.24277400970459, -2.2362000942230225, -2.1933035850524902, -2.1896204948425293, -2.189190626144409, -2.1940083503723145, -2.1900110244750977, -2.1923224925994873, -2.214064598083496, -2.2450027465820312, -2.2092015743255615, -2.2014429569244385, -2.189927339553833, -2.1903457641601562, -2.2186315059661865, -2.249091386795044, -2.247908592224121, -2.246661424636841, -2.1894164085388184, -2.1900856494903564, -2.9811413288116455, -3.0060808658599854, -3.003812313079834, -3.00209641456604, -3.0374135971069336, -3.0198886394500732, -3.0033936500549316, -2.9909121990203857, -3.001497745513916, -3.0376455783843994, -3.038118362426758, -3.0371429920196533, -2.9797658920288086, -2.9807279109954834, -3.0366389751434326, -3.0377533435821533, -3.0372908115386963, -3.035595417022705, -2.978408098220825, -2.978304386138916]"
4,"[-1.4390543699264526, -1.37757408618927, -1.3994098901748657, -1.3944288492202759, -1.396375060081482, -1.4028191566467285, -1.4268267154693604, -1.4052047729492188, -1.4001984596252441, -1.3998973369598389, -1.446568489074707, -1.4472953081130981, -1.4451537132263184, -1.3755429983139038, -1.375945806503296, -1.4326165914535522, -1.4459363222122192, -1.4453825950622559, -1.3747111558914185, -1.3758083581924438, -2.2498927116394043, -2.240017890930176, -2.186857223510742, -2.1812610626220703, -2.1804585456848145, -2.1894733905792236, -2.18039870262146, -2.1839914321899414, -2.2085702419281006, -2.253816843032837, -2.2164740562438965, -2.204136371612549, -2.18046236038208, -2.1809730529785156, -2.210813283920288, -2.2590553760528564, -2.2571184635162354, -2.255059003829956, -2.1794819831848145, -2.180543899536133, -2.9730334281921387, -2.9977221488952637, -2.995741128921509, -2.993994951248169, -3.0465948581695557, -3.0270273685455322, -3.010668992996216, -2.9918088912963867, -3.00431752204895, -3.0464251041412354, -3.047996997833252, -3.0469257831573486, -2.9706742763519287, -2.972283124923706, -3.045170783996582, -3.0476670265197754, -3.047121524810791, -3.0449531078338623, -2.9684393405914307, -2.968310594558716]"
5,"[-1.4465620517730713, -1.3707714080810547, -1.3982837200164795, -1.3901036977767944, -1.3946822881698608, -1.4093269109725952, -1.43169367313385, -1.4117671251296997, -1.4042112827301025, -1.4023646116256714, -1.4552608728408813, -1.455597996711731, -1.4530949592590332, -1.3675168752670288, -1.3677843809127808, -1.4332025051116943, -1.4542030096054077, -1.4533878564834595, -1.3655692338943481, -1.36751389503479, -2.2577686309814453, -2.243568181991577, -2.1796820163726807, -2.172370195388794, -2.171400785446167, -2.193136692047119, -2.1779162883758545, -2.1752889156341553, -2.201897144317627, -2.259077787399292, -2.2242610454559326, -2.207174062728882, -2.170849084854126, -2.17142653465271, -2.2030692100524902, -2.26908802986145, -2.266324281692505, -2.2630414962768555, -2.1695773601531982, -2.1708579063415527, -2.9642772674560547, -2.989081621170044, -2.98757004737854, -2.9877405166625977, -3.056076765060425, -3.0350918769836426, -3.0184504985809326, -2.9956226348876953, -3.0102007389068604, -3.0550835132598877, -3.0579519271850586, -3.0560483932495117, -2.962041139602661, -2.963308572769165, -3.053929328918457, -3.0575828552246094, -3.0569469928741455, -3.054348945617676, -2.958414077758789, -2.9583144187927246]"
6,"[-1.4529075622558594, -1.364885687828064, -1.3973262310028076, -1.3864796161651611, -1.3934799432754517, -1.4157347679138184, -1.435988426208496, -1.4173698425292969, -1.407649040222168, -1.4047248363494873, -1.4631692171096802, -1.4631547927856445, -1.45979642868042, -1.360093593597412, -1.3604918718338013, -1.4360952377319336, -1.4616588354110718, -1.4604507684707642, -1.3570059537887573, -1.3601220846176147, -2.265413522720337, -2.247386932373047, -2.1728787422180176, -2.163372278213501, -2.162325143814087, -2.196805953979492, -2.175539970397949, -2.1674537658691406, -2.196080207824707, -2.2642407417297363, -2.2314252853393555, -2.209322929382324, -2.1616737842559814, -2.1625165939331055, -2.1957216262817383, -2.2782785892486572, -2.2745416164398193, -2.270002841949463, -2.16058611869812, -2.1622376441955566, -2.965118646621704, -2.9867639541625977, -2.9912877082824707, -2.9925525188446045, -3.060344696044922, -3.031189441680908, -3.0243470668792725, -3.0015692710876465, -3.00604248046875, -3.063310384750366, -3.0644187927246094, -3.064767360687256, -2.952996253967285, -2.9560184478759766, -3.063058853149414, -3.066599130630493, -3.065516471862793, -3.061796188354492, -2.949084520339966, -2.9495370388031006]"
7,"[-1.4594522714614868, -1.3591699600219727, -1.396120309829712, -1.3829026222229004, -1.392164945602417, -1.4213610887527466, -1.439774751663208, -1.4221175909042358, -1.4108140468597412, -1.4075525999069214, -1.4710452556610107, -1.470487117767334, -1.4657145738601685, -1.3527123928070068, -1.3531972169876099, -1.4390296936035156, -1.4692041873931885, -1.4675995111465454, -1.3483173847198486, -1.3527079820632935, -2.27372145652771, -2.2482688426971436, -2.1651418209075928, -2.157189130783081, -2.161088466644287, -2.201957941055298, -2.172159194946289, -2.159240961074829, -2.1907615661621094, -2.270629405975342, -2.2392661571502686, -2.2120554447174072, -2.152462959289551, -2.1535282135009766, -2.1881277561187744, -2.28776478767395, -2.2832510471343994, -2.2776381969451904, -2.151275634765625, -2.1532294750213623, -2.9669792652130127, -2.9845852851867676, -2.9943385124206543, -2.9968957901000977, -3.065866231918335, -3.0280847549438477, -3.0293893814086914, -3.005958318710327, -3.002389907836914, -3.071751356124878, -3.071831703186035, -3.0738518238067627, -2.943655490875244, -2.947923421859741, -3.0725033283233643, -3.075491428375244, -3.0734968185424805, -3.0682373046875, -2.9396984577178955, -2.9412529468536377]"
8,"[-1.4626832008361816, -1.3536670207977295, -1.3940016031265259, -1.3786171674728394, -1.3891953229904175, -1.4238089323043823, -1.4425441026687622, -1.426299810409546, -1.4135944843292236, -1.4097665548324585, -1.4778839349746704, -1.4773257970809937, -1.4721057415008545, -1.3457520008087158, -1.346077799797058, -1.4443107843399048, -1.4768733978271484, -1.4748896360397339, -1.3392930030822754, -1.3450454473495483, -2.281433582305908, -2.2470104694366455, -2.15677547454834, -2.152841806411743, -2.163559675216675, -2.2086760997772217, -2.170711040496826, -2.151582956314087, -2.1862378120422363, -2.2778053283691406, -2.2475786209106445, -2.215662717819214, -2.1432950496673584, -2.1445679664611816, -2.180565595626831, -2.29742431640625, -2.292149305343628, -2.2855427265167236, -2.1418278217315674, -2.1441071033477783, -2.9665987491607666, -2.9828925132751465, -2.996758222579956, -3.001110792160034, -3.072042942047119, -3.0251896381378174, -3.034381628036499, -3.0084893703460693, -2.9994051456451416, -3.0797159671783447, -3.079554796218872, -3.083268642425537, -2.9342241287231445, -2.9403421878814697, -3.0821444988250732, -3.084590196609497, -3.0814459323883057, -3.0744504928588867, -2.930279493331909, -2.933185338973999]"
9,"[-1.4668707847595215, -1.347841501235962, -1.3920772075653076, -1.3744746446609497, -1.385962724685669, -1.4251163005828857, -1.4451385736465454, -1.429857611656189, -1.4159059524536133, -1.411765694618225, -1.4842280149459839, -1.4835374355316162, -1.4771066904067993, -1.3391283750534058, -1.339382290840149, -1.4501177072525024, -1.4842835664749146, -1.4819765090942383, -1.3303471803665161, -1.3375684022903442, -2.288090705871582, -2.242671251296997, -2.148371934890747, -2.1466798782348633, -2.1634299755096436, -2.2147467136383057, -2.1667282581329346, -2.1435258388519287, -2.18550181388855, -2.285783052444458, -2.256429672241211, -2.2211766242980957, -2.134551525115967, -2.135324239730835, -2.1723105907440186, -2.306307315826416, -2.30019474029541, -2.2919673919677734, -2.1321487426757812, -2.135167121887207, -2.9617087841033936, -2.9777796268463135, -2.9924874305725098, -3.006741523742676, -3.068746566772461, -3.028886079788208, -3.032625436782837, -3.006349802017212, -2.9942095279693604, -3.088040828704834, -3.07759690284729, -3.082744598388672, -2.9341354370117188, -2.9329845905303955, -3.0896146297454834, -3.092651605606079, -3.089064121246338, -3.078857183456421, -2.9222898483276367, -2.9252984523773193]"
10,"[-1.4675956964492798, -1.3413201570510864, -1.3923757076263428, -1.371811866760254, -1.3880376815795898, -1.4300410747528076, -1.4464377164840698, -1.4332410097122192, -1.4187092781066895, -1.4145324230194092, -1.4914159774780273, -1.4903132915496826, -1.4817640781402588, -1.3318989276885986, -1.332373023033142, -1.4567158222198486, -1.4923691749572754, -1.4894026517868042, -1.3211179971694946, -1.329543113708496, -2.2955775260925293, -2.2403101921081543, -2.1428701877593994, -2.140747308731079, -2.1627273559570312, -2.221632242202759, -2.1611578464508057, -2.1350150108337402, -2.183088779449463, -2.294355869293213, -2.26556658744812, -2.2258074283599854, -2.1255033016204834, -2.1259238719940186, -2.1637682914733887, -2.3154947757720947, -2.30851411819458, -2.2983407974243164, -2.122249126434326, -2.1260344982147217, -2.9574215412139893, -2.9733822345733643, -2.988668203353882, -3.0117623805999756, -3.0663630962371826, -3.032278060913086, -3.0311639308929443, -3.0050766468048096, -2.989701986312866, -3.0966248512268066, -3.076885223388672, -3.083324670791626, -2.932344913482666, -2.925123929977417, -3.0976598262786865, -3.1004388332366943, -3.0958189964294434, -3.0820693969726562, -2.9139609336853027, -2.917844533920288]"
