1,"[-1.4010101556777954, -1.4209730625152588, -1.4209848642349243, -1.420985460281372, -1.420985460281372, -1.4209866523742676, -1.4209868907928467, -1.4209864139556885, -1.400987148284912, -1.400987148284912, -1.4209868907928467, -1.4209870100021362, -1.4209868907928467, -1.4009870290756226, -1.4009870290756226, -1.4009872674942017, -1.4209870100021362, -1.4209870100021362, -1.400987148284912, -1.4009870290756226, -2.2292027473449707, -2.2292022705078125, -2.20920467376709, -2.2092039585113525, -2.2092039585113525, -2.20920467376709, -2.2092058658599854, -2.20920729637146, -2.229198694229126, -2.2292022705078125, -2.2292025089263916, -2.229184627532959, -2.2092039585113525, -2.2092037200927734, -2.2092041969299316, -2.229203224182129, -2.229203224182129, -2.229203224182129, -2.2092037200927734, -2.2092034816741943, -2.998157501220703, -2.9981558322906494, -2.9981558322906494, -2.9981586933135986, -2.998258352279663, -3.0181355476379395, -2.9981799125671387, -3.0181310176849365, -3.018153429031372, -3.0181539058685303, -3.0181519985198975, -2.998155355453491, -2.998155117034912, -2.998155117034912, -3.0181543827056885, -3.0181548595428467, -3.0181548595428467, -3.0181548595428467, -2.998154878616333, -3.00815486907959]"
2,"[-1.3935458660125732, -1.4135702848434448, -1.4137465953826904, -1.4137771129608154, -1.4285603761672974, -1.4285231828689575, -1.4288976192474365, -1.4135897159576416, -1.3932820558547974, -1.39556884765625, -1.4286402463912964, -1.4287655353546143, -1.4293901920318604, -1.39328134059906, -1.3930588960647583, -1.3962397575378418, -1.4289575815200806, -1.428926944732666, -1.3929516077041626, -1.3930350542068481, -2.236873149871826, -2.236870288848877, -2.2014315128326416, -2.2010648250579834, -2.2006988525390625, -2.2007439136505127, -2.2009830474853516, -2.2011919021606445, -2.222710371017456, -2.2321009635925293, -2.237603187561035, -2.224017381668091, -2.199244976043701, -2.1991915702819824, -2.20019793510437, -2.230379581451416, -2.238713026046753, -2.239102363586426, -2.1993472576141357, -2.1997177600860596, -3.0053963661193848, -2.988144874572754, -3.00522518157959, -2.9906554222106934, -3.005685329437256, -3.02616810798645, -2.9906933307647705, -3.010772705078125, -3.0128426551818848, -3.0272176265716553, -3.0130198001861572, -2.991922378540039, -2.9896433353424072, -2.9887208938598633, -3.02799129486084, -3.0272858142852783, -3.0269668102264404, -3.0260820388793945, -2.989379644393921, -3.00815486907959]"
3,"[-1.3956266641616821, -1.4139717817306519, -1.4116358757019043, -1.413597583770752, -1.4360997676849365, -1.4349455833435059, -1.4358757734298706, -1.4080413579940796, -1.387168288230896, -1.3879302740097046, -1.4344722032546997, -1.434760332107544, -1.4338035583496094, -1.3865752220153809, -1.3863214254379272, -1.4006974697113037, -1.435997724533081, -1.4357191324234009, -1.384429693222046, -1.3855557441711426, -2.2432031631469727, -2.2430691719055176, -2.194899797439575, -2.194101333618164, -2.1934304237365723, -2.1935067176818848, -2.1936728954315186, -2.1946027278900146, -2.2172696590423584, -2.2319180965423584, -2.238302707672119, -2.216566562652588, -2.1905198097229004, -2.1899733543395996, -2.1912682056427, -2.231053590774536, -2.2467195987701416, -2.2467806339263916, -2.1894044876098633, -2.1902782917022705, -3.0108847618103027, -2.990143299102783, -3.0111591815948486, -2.9848313331604004, -3.010678291320801, -3.0272603034973145, -2.9844679832458496, -3.0046396255493164, -3.009028196334839, -3.0348153114318848, -3.010695695877075, -2.985588550567627, -2.981492519378662, -2.9799346923828125, -3.037533760070801, -3.0359413623809814, -3.0350821018218994, -3.0326366424560547, -2.9810328483581543, -3.00815486907959]"
4,"[-1.3977375030517578, -1.4141099452972412, -1.4098775386810303, -1.4133843183517456, -1.442455530166626, -1.4402812719345093, -1.44168221950531, -1.403471827507019, -1.38209068775177, -1.3811728954315186, -1.4393221139907837, -1.4397541284561157, -1.4373645782470703, -1.380961298942566, -1.3806763887405396, -1.4050506353378296, -1.4419538974761963, -1.4414368867874146, -1.3770017623901367, -1.3792579174041748, -2.248567819595337, -2.248189926147461, -2.189995288848877, -2.188650369644165, -2.1874303817749023, -2.186417579650879, -2.185955286026001, -2.186735153198242, -2.2113447189331055, -2.23708176612854, -2.2439420223236084, -2.22041916847229, -2.1823372840881348, -2.1819088459014893, -2.183065414428711, -2.2353575229644775, -2.254703998565674, -2.2545812129974365, -2.1798253059387207, -2.181171417236328, -3.013528823852539, -2.985687017440796, -3.0164763927459717, -2.978053331375122, -3.017761468887329, -3.0331199169158936, -2.979842185974121, -3.0015387535095215, -3.010131597518921, -3.0395686626434326, -3.0157899856567383, -2.9778120517730713, -2.9729387760162354, -2.9714014530181885, -3.047269821166992, -3.044640064239502, -3.0434489250183105, -3.0389621257781982, -2.9726810455322266, -3.00815486907959]"
5,"[-1.3993362188339233, -1.4139312505722046, -1.4080402851104736, -1.412907600402832, -1.4474643468856812, -1.4448349475860596, -1.4470237493515015, -1.3997799158096313, -1.377648115158081, -1.3733710050582886, -1.4434510469436646, -1.4441274404525757, -1.4409164190292358, -1.3760493993759155, -1.3757102489471436, -1.4067282676696777, -1.4471269845962524, -1.4464120864868164, -1.3703261613845825, -1.373815655708313, -2.253148317337036, -2.2530009746551514, -2.185723066329956, -2.1837706565856934, -2.1822288036346436, -2.18057918548584, -2.1781399250030518, -2.1781632900238037, -2.2039413452148438, -2.2424986362457275, -2.2508621215820312, -2.226766586303711, -2.174311876296997, -2.173738718032837, -2.1748805046081543, -2.240351438522339, -2.2627151012420654, -2.262373447418213, -2.1703429222106934, -2.1722326278686523, -3.0160069465637207, -2.98114013671875, -3.020780563354492, -2.972311019897461, -3.0236973762512207, -3.038116455078125, -2.9757919311523438, -2.9991772174835205, -3.0122013092041016, -3.044715642929077, -3.0206570625305176, -2.970229387283325, -2.9647250175476074, -2.9634032249450684, -3.0571343898773193, -3.0529656410217285, -3.0510101318359375, -3.0437560081481934, -2.9648494720458984, -3.00815486907959]"
6,"[-1.404384970664978, -1.4160175323486328, -1.4097216129302979, -1.414476990699768, -1.4541960954666138, -1.4498957395553589, -1.453413724899292, -1.3973307609558105, -1.3739490509033203, -1.3665497303009033, -1.4479151964187622, -1.4487051963806152, -1.4429686069488525, -1.3704537153244019, -1.3702951669692993, -1.4121124744415283, -1.4528030157089233, -1.4517273902893066, -1.3625606298446655, -1.367688536643982, -2.2578928470611572, -2.256655693054199, -2.180772066116333, -2.1789515018463135, -2.1773388385772705, -2.17498779296875, -2.170774221420288, -2.169820547103882, -2.196772336959839, -2.2490932941436768, -2.258338689804077, -2.2336604595184326, -2.1663320064544678, -2.1658613681793213, -2.167083740234375, -2.246549367904663, -2.270709991455078, -2.2695794105529785, -2.1607136726379395, -2.163161516189575, -3.0184757709503174, -2.9785499572753906, -3.0246479511260986, -2.967346668243408, -3.0289666652679443, -3.0425612926483154, -2.971996545791626, -2.996931314468384, -3.013927698135376, -3.049347162246704, -3.024273157119751, -2.961940288543701, -2.9563419818878174, -2.9560253620147705, -3.0670084953308105, -3.0610556602478027, -3.0576865673065186, -3.04685640335083, -2.9572973251342773, -3.00815486907959]"
7,"[-1.410062313079834, -1.420548677444458, -1.413413166999817, -1.4183701276779175, -1.4617269039154053, -1.4555612802505493, -1.459425687789917, -1.3960810899734497, -1.3709614276885986, -1.3612332344055176, -1.452028512954712, -1.4527177810668945, -1.4430752992630005, -1.365049123764038, -1.3652701377868652, -1.4190102815628052, -1.4585765600204468, -1.4571304321289062, -1.3547042608261108, -1.3613868951797485, -2.261385440826416, -2.25807785987854, -2.1767492294311523, -2.1763968467712402, -2.1744768619537354, -2.1721322536468506, -2.1663742065429688, -2.1630775928497314, -2.1914052963256836, -2.256157159805298, -2.265510082244873, -2.2395615577697754, -2.1584620475769043, -2.158200979232788, -2.159576654434204, -2.2532079219818115, -2.278580904006958, -2.276383399963379, -2.150986433029175, -2.154153823852539, -3.020127773284912, -2.9773502349853516, -3.027837038040161, -2.963015556335449, -3.033318042755127, -3.0465590953826904, -2.967862844467163, -2.995863914489746, -3.015847682952881, -3.054494619369507, -3.0277316570281982, -2.9537627696990967, -2.948059320449829, -2.9493370056152344, -3.076899766921997, -3.0692405700683594, -3.0635879039764404, -3.0481982231140137, -2.950152635574341, -3.00815486907959]"
8,"[-1.4169282913208008, -1.4262728691101074, -1.41853928565979, -1.4235589504241943, -1.4691356420516968, -1.46111261844635, -1.4656214714050293, -1.3947231769561768, -1.3674687147140503, -1.3545342683792114, -1.4561893939971924, -1.4571365118026733, -1.4437624216079712, -1.358856439590454, -1.3593891859054565, -1.424238920211792, -1.464959979057312, -1.4634984731674194, -1.3462690114974976, -1.3541531562805176, -2.2661306858062744, -2.2597262859344482, -2.1712915897369385, -2.173597812652588, -2.1719372272491455, -2.171943187713623, -2.1624460220336914, -2.1553759574890137, -2.1846935749053955, -2.263964891433716, -2.273282051086426, -2.2464730739593506, -2.149942398071289, -2.149857759475708, -2.151311159133911, -2.260352849960327, -2.2871084213256836, -2.2840828895568848, -2.1412642002105713, -2.1448020935058594, -3.0214314460754395, -2.9767861366271973, -3.030625104904175, -2.9593489170074463, -3.0385208129882812, -3.0505189895629883, -2.9679384231567383, -2.9921815395355225, -3.020892381668091, -3.0605010986328125, -3.032850742340088, -2.9451053142547607, -2.9392402172088623, -2.9417691230773926, -3.086745023727417, -3.0779483318328857, -3.0696821212768555, -3.047964572906494, -2.9425206184387207, -3.00815486907959]"
9,"[-1.415726900100708, -1.4288469552993774, -1.4211440086364746, -1.427916169166565, -1.4756190776824951, -1.4660537242889404, -1.4712049961090088, -1.3935143947601318, -1.3644089698791504, -1.3491077423095703, -1.4598244428634644, -1.46099054813385, -1.4440677165985107, -1.3533294200897217, -1.3541388511657715, -1.4280160665512085, -1.4705748558044434, -1.4691195487976074, -1.3386526107788086, -1.347692847251892, -2.270454168319702, -2.2630977630615234, -2.1673502922058105, -2.170198917388916, -2.168039083480835, -2.16790509223938, -2.1566102504730225, -2.155550241470337, -2.1849348545074463, -2.270216226577759, -2.277217149734497, -2.2496728897094727, -2.140986204147339, -2.1410388946533203, -2.1455986499786377, -2.2661986351013184, -2.2955398559570312, -2.29115629196167, -2.1353724002838135, -2.137064218521118, -3.02642822265625, -2.9816479682922363, -3.0356149673461914, -2.9540913105010986, -3.0442099571228027, -3.052300453186035, -2.9672586917877197, -2.9864373207092285, -3.026449680328369, -3.066113233566284, -3.036369800567627, -2.9381115436553955, -2.9306252002716064, -2.933793544769287, -3.096630573272705, -3.0860648155212402, -3.074784994125366, -3.046360492706299, -2.9356305599212646, -3.00815486907959]"
10,"[-1.4146504402160645, -1.4310908317565918, -1.4234758615493774, -1.4318276643753052, -1.4814276695251465, -1.4704687595367432, -1.476170539855957, -1.392416000366211, -1.3616782426834106, -1.3446276187896729, -1.4631372690200806, -1.464447021484375, -1.443917155265808, -1.3482953310012817, -1.349408745765686, -1.4323779344558716, -1.475775122642517, -1.4742711782455444, -1.331377625465393, -1.3417338132858276, -2.274364948272705, -2.2662010192871094, -2.163405418395996, -2.1667520999908447, -2.1642560958862305, -2.16461181640625, -2.1516783237457275, -2.155277729034424, -2.183155059814453, -2.272848129272461, -2.2793917655944824, -2.2516441345214844, -2.1334095001220703, -2.1336605548858643, -2.1405622959136963, -2.271928310394287, -2.3042285442352295, -2.298450231552124, -2.1290440559387207, -2.128753662109375, -3.030909776687622, -2.9859097003936768, -3.040050983428955, -2.949413537979126, -3.0494461059570312, -3.0544793605804443, -2.967332124710083, -2.98177170753479, -3.03212308883667, -3.072399854660034, -3.0402467250823975, -2.9309029579162598, -2.922013282775879, -2.925992250442505, -3.10667085647583, -3.094196319580078, -3.079761028289795, -3.0440595149993896, -2.9288015365600586, -3.00815486907959]"
